User Input,Polarity,Extracted Concern,Category,Intensity,VADER_Compound
I've been tossing and turning all night because I can't sleep well.,Negative,can't sleep well,Insomnia,3.0,2
Work stress is making me unable to sleep properly.,Negative,unable to sleep,Insomnia,3.0,4
Since last month I have trouble sleeping and it's affecting my work.,Negative,have trouble sleeping,Insomnia,3.0,4
My new medication is making me unable to sleep at night.,Negative,unable to sleep,Insomnia,3.0,1
The noise from construction means I can't sleep well anymore.,Negative,can't sleep well,Insomnia,3.0,2
I have trouble sleeping since moving to the city.,Negative,have trouble sleeping,Insomnia,3.0,4
My anxiety is getting worse and I can't sleep well.,Negative,can't sleep well,Insomnia,3.0,5
The summer heat makes me unable to sleep comfortably.,Negative,unable to sleep,Insomnia,3.0,3
Ever since the breakup I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,3.0,4
Coffee in the afternoon means I can't sleep well at night.,Negative,can't sleep well,Insomnia,3.0,2
My new neighbors are loud and I'm unable to sleep.,Negative,unable to sleep,Insomnia,3.0,1
Being a new parent means I have trouble sleeping consistently.,Negative,have trouble sleeping,Insomnia,3.0,4
The stress of deadlines means I can't sleep well lately.,Negative,can't sleep well,Insomnia,3.0,5
My racing thoughts make me unable to sleep most nights.,Negative,unable to sleep,Insomnia,3.0,1
Since starting this diet I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,3.0,4
The change in seasons means I can't sleep well anymore.,Negative,can't sleep well,Insomnia,3.0,2
My back pain makes me unable to sleep comfortably.,Negative,unable to sleep,Insomnia,3.0,1
Living next to the highway means I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,3.0,4
The upcoming exam has me so stressed I can't sleep well.,Negative,can't sleep well,Insomnia,3.0,5
My irregular work schedule means I'm unable to sleep normally.,Negative,unable to sleep,Insomnia,3.0,1
This jet lag means I have trouble sleeping at the right times.,Negative,have trouble sleeping,Insomnia,3.0,5
The full moon makes it so I can't sleep well.,Negative,can't sleep well,Insomnia,3.0,2
My partner's snoring means I'm unable to sleep properly.,Negative,unable to sleep,Insomnia,3.0,1
